Sec,Throughput,Graph Vertices,Graph Edges
0,264186,1004889,0
1,309588,1004889,0
2,319516,1004889,0
3,249109,1009897,0
4,271831,1009897,0
5,282106,1009897,0
6,284919,1014863,0
7,279393,1014863,0
8,279468,1014863,0
9,172981,1019801,0
10,303564,1019801,0
11,292706,1019801,0
12,301426,1024774,0
13,292993,1024774,0
14,292088,1024774,0
15,199133,1029902,0
16,324091,1029902,0
17,305886,1029902,0
18,308395,1034813,0
19,302443,1034813,0
20,301039,1034813,0
21,293027,1039925,0
22,113958,1039925,0
23,281648,1044973,0
24,297236,1044973,0
25,301621,1044973,0
26,313174,1044973,0
27,297992,1049891,0
28,204690,1049891,0
29,149032,1049891,0
30,285788,1054886,0
31,293782,1054886,0
32,307077,1054886,0
33,310698,1059991,0
34,314915,1059991,0
35,315371,1062468,0
36,253529,1064978,0
37,348022,1064978,0
38,329730,1064978,0
39,325779,1069976,0
40,319230,1069976,0
41,314148,1069976,0
42,230268,1075035,0
43,302130,1075035,0
44,332374,1075035,0
45,334366,1075035,0
46,323259,1079972,0
47,316326,1079972,0
48,317164,1079972,0
49,347402,1084867,0
50,335686,1084867,0
51,329285,1084867,0
52,324336,1084867,0
53,217417,1089887,0
54,323612,1089887,0
55,338502,1089887,0
56,335861,1094795,0
57,327337,1094795,0
58,329024,1094795,0
59,323956,1099885,0
60,220365,1099885,0
61,173799,1099885,0
62,330250,1104922,0
63,339390,1104922,0
64,334917,1104922,0
65,337135,1104922,0
66,330751,1109857,0
67,290403,1109857,0
68,311194,1109857,0
69,340389,1114838,0
70,342037,1114838,0
71,337049,1114838,0
72,332226,1117067,0
73,310454,1119876,0
74,344007,1119876,0
75,350305,1119876,0
76,339416,1124944,0
77,327884,1124944,0
78,97869,1124944,0
79,264471,1129994,0
80,329309,1129994,0
81,358635,1129994,0
82,355301,1135012,0
83,351568,1135012,0
84,346423,1139961,0
85,298312,1144459,0
86,382057,1144922,0
87,371572,1149834,0
88,366865,1149834,0
89,348739,1154868,0
90,340163,1159828,0
91,332330,1159828,0
92,378029,1164871,0
93,343724,1169914,0
94,354434,1169914,0
95,356443,1175062,0
96,354109,1175062,0
97,344682,1180039,0
98,356925,1185039,0
99,365290,1185039,0
100,368588,1190153,0
101,362972,1190153,0
102,355542,1195103,0
103,299884,1195103,0
104,388712,1200206,0
105,357621,1205219,0
106,373040,1205219,0
107,364563,1210183,0
108,358665,1210183,0
109,360625,1215177,0
110,387302,1220169,0
111,378009,1220169,0
112,370081,1225159,0
113,362255,1225159,0
114,355018,1230115,0
115,359753,1235063,0
116,384107,1235063,0
117,377498,1240119,0
118,367119,1240119,0
119,359910,1245236,0
120,375452,1250307,0
121,383307,1250307,0
122,383381,1255385,0
123,374650,1255385,0
124,364808,1260494,0
125,360502,1260494,0
126,350651,1265499,0
127,387997,1267750,0
128,389806,1270562,0
129,376499,1275649,0
130,371019,1275649,0
131,363643,1280722,0
132,358973,1280722,0
133,377931,1285694,0
134,393247,1285694,0
135,386369,1290541,0
136,374865,1292460,0
137,367544,1295584,0
138,347609,1300583,0
139,435759,1300583,0
140,396401,1305590,0
141,381880,1305590,0
142,371281,1310556,0
143,361443,1310556,0
144,402621,1315444,0
145,395093,1320481,0
146,385801,1320481,0
147,373209,1325434,0
148,367786,1325434,0
149,399696,1330473,0
150,378322,1330473,0
151,286357,1335402,0
