Scheduling End,2741233516669
Makespan,2741233552923
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
585.383,587.399,588.465,2.0159
589.669,591.748,592.814,2.07865
594.021,596.171,597.239,2.15049
598.452,600.655,601.726,2.2024
602.949,605.197,606.275,2.24776
607.491,609.75,610.833,2.25871
612.047,614.335,615.43,2.2877
616.666,618.972,620.072,2.30594
621.311,623.633,624.722,2.32171
625.95,628.322,629.426,2.37187
630.661,633.039,634.14,2.37756
635.374,637.747,638.855,2.37305
640.081,642.52,643.646,2.4389
644.886,647.165,648.28,2.27944
649.518,651.829,652.96,2.31093
654.204,656.521,657.657,2.31743
658.903,661.234,662.362,2.33114
663.652,665.975,667.113,2.32269
668.362,670.706,671.837,2.34381
673.078,675.619,676.757,2.54189
678.014,680.498,681.654,2.48376
682.92,685.567,686.719,2.64628
687.99,690.602,691.751,2.61186
693.011,695.639,696.803,2.62808
698.063,700.685,701.842,2.62213
703.094,705.68,706.836,2.58521
708.099,710.62,711.788,2.52147
713.057,715.552,716.72,2.49515
718,720.465,721.645,2.46451
722.925,725.369,726.557,2.44368
727.849,730.29,731.473,2.4403
732.766,735.161,736.346,2.39542
737.625,740.145,741.337,2.51957
742.613,745.119,746.318,2.50581
747.593,750.074,751.27,2.48018
752.561,754.976,756.184,2.41525
757.477,759.86,761.068,2.3834
762.367,764.692,765.895,2.32563
767.186,769.472,770.701,2.28604
772.012,774.37,775.6,2.3586
776.915,779.242,780.471,2.32652
781.79,784.098,785.326,2.30804
786.62,789,790.234,2.38038
791.544,793.89,795.13,2.34623
796.436,798.7,799.936,2.26385
801.234,803.547,804.794,2.31257
806.106,808.391,809.643,2.28481
810.958,813.215,814.474,2.25732
815.806,818.056,819.324,2.24984
820.653,822.95,824.228,2.297
825.556,827.794,829.067,2.23845
830.394,832.632,833.913,2.2386
835.26,837.481,838.766,2.22114
840.108,842.358,843.652,2.24923
845.013,847.265,848.555,2.25224
849.896,852.382,853.676,2.48518
855.013,857.698,858.997,2.68469
860.356,863.151,864.455,2.79503
865.815,868.116,869.425,2.3006
870.79,873.112,874.426,2.32126
875.782,878.127,879.445,2.34546
880.82,883.2,884.519,2.38028
885.869,888.249,889.569,2.37954
890.92,893.31,894.637,2.38963
895.987,898.397,899.724,2.40966
901.082,903.464,904.805,2.38239
906.161,908.61,909.948,2.44866
911.312,913.736,915.078,2.42315
916.438,918.868,920.225,2.4301
921.582,924.006,925.359,2.4233
926.722,929.081,930.443,2.35957
931.815,934.169,935.53,2.35366
936.899,939.345,940.713,2.44618
942.072,944.51,945.881,2.43858
947.263,949.683,951.062,2.41991
952.436,954.847,956.232,2.41167
957.603,960.041,961.427,2.43799
962.827,965.195,966.574,2.3677
967.957,970.33,971.72,2.37257
973.087,975.499,976.905,2.4121
978.297,980.735,982.128,2.43757
983.55,986.137,987.548,2.58666
988.925,991.487,992.896,2.56262
994.308,996.825,998.239,2.51645
999.638,1002.18,1003.59,2.5389
1004.99,1007.53,1008.96,2.5458
1010.37,1012.88,1014.31,2.51528
1015.71,1018.22,1019.65,2.50998
1021.05,1023.52,1024.96,2.46734
1026.37,1028.8,1030.24,2.43083
1031.64,1034.08,1035.52,2.43318
1036.94,1039.57,1041.02,2.6304
1042.44,1044.86,1046.31,2.41216
1047.72,1050.46,1051.92,2.73973
1053.35,1056.04,1057.51,2.69437
1058.93,1061.63,1063.09,2.69474
1064.51,1067.26,1068.73,2.74935
1070.15,1072.95,1074.43,2.80238
1075.85,1078.66,1080.13,2.80706
1081.55,1084.34,1085.83,2.78994
1087.25,1090.15,1091.64,2.90635
1093.06,1095.8,1097.29,2.73547
1098.72,1101.58,1103.08,2.86226
1104.52,1107.62,1109.12,3.09661
1110.55,1113.44,1114.95,2.89265
1116.39,1119.14,1120.65,2.74628
1122.09,1124.82,1126.34,2.73371
1127.79,1130.48,1132.01,2.68671
1133.55,1136.29,1137.83,2.7419
1139.27,1142.01,1143.55,2.74625
1145,1147.83,1149.37,2.83333
1150.83,1153.55,1155.09,2.72068
1156.55,1159.33,1160.86,2.78169
1162.33,1165.11,1166.65,2.78351
1168.1,1170.89,1172.44,2.79323
1173.9,1176.66,1178.21,2.75994
1179.67,1182.44,1183.99,2.76125
1185.46,1188.18,1189.75,2.72738
1191.21,1193.9,1195.47,2.69528
1196.94,1199.55,1201.13,2.61267
1202.6,1205.26,1206.84,2.65691
1208.32,1210.96,1212.55,2.64131
1214.04,1216.63,1218.22,2.59583
1219.69,1222.31,1223.9,2.61895
1225.4,1227.95,1229.79,2.55023
1231.28,1233.85,1235.68,2.57195
1237.18,1239.75,1241.62,2.57298
1243.12,1245.69,1247.57,2.56389
1249.08,1251.53,1253.42,2.45065
1254.92,1257.73,1259.63,2.80789
1261.15,1264.07,1266,2.92123
1267.54,1270.44,1272.36,2.90295
1273.89,1276.81,1278.72,2.92031
1280.24,1283.14,1285.08,2.90803
1286.62,1289.57,1291.52,2.9476
1293.11,1296.08,1298.04,2.97357
1299.59,1302.53,1304.46,2.93569
1305.98,1308.84,1310.78,2.86155
1312.3,1315.19,1317.14,2.89289
1318.67,1321.55,1323.53,2.87736
1325.07,1327.97,1329.93,2.90331
1331.47,1334.38,1336.34,2.90801
1337.89,1340.76,1342.73,2.87547
1344.29,1347.17,1349.16,2.87696
1350.71,1353.59,1355.59,2.87674
1357.12,1360,1362.01,2.87777
1363.57,1366.42,1368.43,2.84871
1369.97,1373.09,1375.11,3.12016
1376.68,1379.62,1381.63,2.93902
1383.2,1386.11,1388.13,2.91373
1389.7,1392.62,1394.65,2.92035
1396.22,1399.14,1401.17,2.92673
1402.74,1405.66,1407.69,2.92284
1409.24,1412.1,1414.14,2.85073
1415.71,1418.51,1420.58,2.80382
1422.15,1424.99,1427.04,2.83115
1428.6,1431.43,1433.49,2.82991
1435.06,1437.87,1439.94,2.81655
1441.52,1444.33,1446.39,2.81249
1447.98,1450.79,1452.87,2.81455
1454.45,1457.26,1459.35,2.81447
1460.93,1463.75,1465.85,2.81162
1467.51,1470.36,1472.46,2.85403
1474.05,1476.92,1479.01,2.87086
1480.6,1483.42,1485.5,2.82446
1487.08,1489.91,1492.07,2.82417
1493.67,1496.5,1498.63,2.83421
1500.23,1503.04,1505.17,2.81809
1506.8,1509.61,1511.74,2.80755
1513.36,1516.17,1518.31,2.80953
1519.91,1522.72,1524.86,2.80534
1526.46,1529.27,1531.39,2.80395
1533.01,1535.82,1537.96,2.80351
1539.56,1542.37,1544.53,2.80968
1546.14,1549.17,1551.36,3.03358
1552.97,1555.77,1557.92,2.80458
1559.54,1562.35,1564.53,2.80324
1566.13,1568.96,1571.15,2.82746
1572.77,1575.56,1577.75,2.79958
1579.38,1582.17,1584.37,2.79872
1585.99,1588.79,1590.98,2.80149
1592.59,1595.41,1597.63,2.81594
1599.26,1602.05,1604.27,2.79541
1605.9,1608.69,1610.91,2.79582
1612.55,1615.35,1617.59,2.79913
1619.22,1622.03,1624.29,2.81795
1625.92,1628.71,1630.96,2.79172
1632.59,1635.41,1637.67,2.8118
1639.31,1642.1,1644.35,2.79528
1646.03,1648.85,1651.13,2.8276
1652.78,1655.64,1657.9,2.86852
1659.54,1662.35,1664.59,2.80538
1666.24,1669.04,1671.32,2.80296
1672.97,1675.77,1678.11,2.79755
1679.77,1682.57,1684.87,2.79532
1686.52,1689.32,1691.62,2.79976
1693.29,1696.09,1698.39,2.79643
1700.04,1702.84,1705.16,2.80034
1706.82,1709.62,1711.94,2.80056
1713.6,1716.41,1718.74,2.81626
1720.41,1723.15,1725.48,2.74038
1727.15,1729.92,1732.26,2.77179
1733.93,1736.69,1739.04,2.75152
1740.69,1743.44,1745.8,2.75675
1747.47,1750.23,1752.59,2.7576
1754.26,1757.02,1759.38,2.76158
1761.06,1763.83,1766.19,2.76913
1767.88,1770.65,1773.02,2.76868
