Scheduling End,95827386465
Makespan,96009310896
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
3.45351,3.45435,3.45727,0.00823443
3.47154,3.47232,3.47528,0.00840486
3.48977,3.49067,3.49373,0.00854075
3.5084,3.50912,3.51188,0.00875994
3.52558,3.52642,3.52932,0.00834243
3.54316,3.54393,3.54661,0.00830388
3.56045,3.56129,3.56427,0.00828979
3.5793,3.58013,3.58278,0.00875172
3.59694,3.59774,3.60045,0.00851994
3.61473,3.61558,3.61862,0.0084519
3.63286,3.63364,3.63638,0.0085584
3.65103,3.65183,3.65451,0.00865887
3.66823,3.66902,3.67181,0.00824572
3.68573,3.68652,3.68917,0.00834551
3.70277,3.7036,3.70639,0.00812059
3.72064,3.72143,3.72424,0.00855905
3.73794,3.73871,3.74159,0.00839846
3.75529,3.75613,3.7591,0.00834579
3.77427,3.77512,3.77788,0.00928356
3.79206,3.79287,3.79562,0.00855456
3.80998,3.81079,3.81371,0.00836488
3.82799,3.82878,3.8315,0.00847603
3.84544,3.84623,3.84912,0.0083798
3.86348,3.86423,3.86705,0.00847109
3.88109,3.88193,3.88485,0.0084755
3.89874,3.89951,3.90238,0.00848764
3.91753,3.91839,3.92114,0.00970144
3.93546,3.93626,3.93903,0.00857532
3.95365,3.95442,3.95717,0.0086744
3.97126,3.97209,3.97491,0.00833379
3.98924,3.99006,3.99302,0.00843647
4.00765,4.00844,4.01123,0.00864493
4.02563,4.02644,4.02916,0.00871664
4.04307,4.04387,4.04665,0.00846633
4.0607,4.06146,4.0642,0.00840418
4.07808,4.07895,4.08182,0.00833673
4.10001,4.10082,4.10353,0.0115124
4.11812,4.11893,4.12165,0.00869187
4.13529,4.13617,4.13911,0.00812795
4.15322,4.15393,4.15658,0.00842032
4.17031,4.17105,4.17412,0.00814328
4.18854,4.18931,4.19205,0.008458
4.20599,4.20681,4.20955,0.00832621
4.2237,4.22455,4.22722,0.00842233
4.24137,4.24214,4.24479,0.00845068
4.25814,4.25895,4.2619,0.00800651
4.27724,4.27809,4.28097,0.00849076
4.29552,4.29634,4.29913,0.00858696
4.31378,4.31454,4.31743,0.00860361
4.33205,4.33284,4.33548,0.00864115
4.34967,4.35053,4.35342,0.00854007
4.36807,4.36879,4.37147,0.00875474
4.38617,4.38702,4.38999,0.00877304
4.40473,4.40557,4.40846,0.00866567
4.42308,4.42384,4.42633,0.00867058
4.44071,4.44156,4.4444,0.00841429
4.45894,4.45966,4.46255,0.00865238
4.47703,4.4779,4.48064,0.00859064
4.49477,4.4956,4.49854,0.0084913
4.51316,4.51392,4.51669,0.00864512
4.53117,4.53198,4.53469,0.00865741
4.54916,4.5499,4.5527,0.00876345
4.56739,4.56821,4.5711,0.00868206
4.5858,4.58661,4.58934,0.00867973
4.60387,4.60469,4.60743,0.0086017
4.62186,4.62268,4.62539,0.00854271
4.63952,4.64031,4.643,0.00852751
4.65742,4.65819,4.66091,0.00864085
4.67551,4.67635,4.67929,0.00877893
4.69419,4.69499,4.69767,0.00879441
4.71238,4.71324,4.71601,0.00859092
4.7306,4.73145,4.73405,0.0085902
4.74844,4.74922,4.75205,0.00859511
4.76756,4.76842,4.77121,0.00946724
4.78599,4.78678,4.78956,0.0088298
4.80428,4.80514,4.8081,0.00876391
4.82288,4.82367,4.82647,0.0087089
4.84116,4.84201,4.84476,0.00864942
4.85937,4.86021,4.86287,0.00872601
4.87746,4.87827,4.88111,0.00858878
4.89553,4.89631,4.89903,0.0084963
4.91333,4.9141,4.91678,0.00854556
4.93126,4.93211,4.93506,0.00857212
4.94964,4.95035,4.95313,0.00865758
4.96751,4.96831,4.97119,0.00854497
4.98585,4.98658,4.98951,0.00871244
5.00415,5.00493,5.00773,0.00873864
5.02245,5.02327,5.02612,0.00872512
5.04085,5.04159,5.04444,0.00871136
5.05912,5.0599,5.06271,0.00864041
5.07727,5.07812,5.08101,0.00863615
5.0956,5.09638,5.09924,0.00875141
5.11406,5.1148,5.11774,0.00868352
5.13241,5.13318,5.13583,0.00869332
5.15045,5.15118,5.154,0.0085527
5.16858,5.16943,5.1722,0.00862457
5.18685,5.18771,5.1905,0.00869417
5.20508,5.2059,5.20875,0.00868149
5.22337,5.22411,5.22686,0.00869664
5.24146,5.2422,5.24502,0.008529
5.25947,5.26027,5.26305,0.00860009
5.2784,5.2792,5.28185,0.00866908
5.29634,5.29713,5.29987,0.00862716
5.31433,5.31517,5.31791,0.00860398
5.33255,5.3334,5.33634,0.00868564
5.35114,5.35194,5.35476,0.00871049
5.36929,5.37016,5.37291,0.00869019
5.38752,5.38836,5.39114,0.00868559
5.40594,5.40675,5.40965,0.00878991
5.42416,5.42493,5.42762,0.00865754
5.44226,5.44302,5.44581,0.00867405
5.46047,5.46134,5.46413,0.00880451
5.47913,5.47993,5.48274,0.00885025
5.4973,5.49815,5.50102,0.00879439
5.51541,5.51619,5.51869,0.00872019
5.5328,5.53353,5.53613,0.00861152
5.55028,5.55101,5.55363,0.00865186
5.56732,5.56805,5.57062,0.00863141
5.58428,5.58501,5.5875,0.00852029
5.6012,5.60194,5.60443,0.00858403
5.61808,5.61869,5.62125,0.00853212
5.63506,5.63578,5.63838,0.00857942
5.65262,5.65333,5.65583,0.00874953
5.66973,5.67048,5.67292,0.00873589
5.68655,5.68726,5.68979,0.00856845
5.70383,5.7046,5.70733,0.00871336
5.72145,5.72219,5.72479,0.00879369
5.73898,5.73976,5.74233,0.00870118
5.75653,5.75727,5.75977,0.00872363
5.77409,5.77487,5.77755,0.00922787
5.79221,5.79298,5.79578,0.00866516
5.81018,5.81104,5.81383,0.00866828
5.82875,5.82955,5.8323,0.00879582
5.84698,5.84781,5.85053,0.00867037
5.86505,5.86583,5.86862,0.00871782
5.88347,5.88433,5.8872,0.00873042
5.9019,5.90266,5.90553,0.00859269
5.91994,5.92076,5.92367,0.00862633
5.93829,5.93903,5.94169,0.00869757
5.95601,5.95678,5.95928,0.00868319
5.9729,5.9737,5.97625,0.0085934
5.98985,5.99063,5.99319,0.00862331
6.00702,6.0078,6.01037,0.00862705
6.02451,6.02523,6.02776,0.00882155
6.04194,6.04269,6.04518,0.00886013
6.05912,6.05985,6.06253,0.00878397
6.07672,6.07743,6.07988,0.00879421
6.09379,6.09449,6.09698,0.00863884
6.11047,6.11122,6.11386,0.00851076
6.12778,6.12848,6.13102,0.00865778
6.14451,6.14527,6.14778,0.00853695
6.16189,6.16256,6.165,0.00875336
6.17881,6.17958,6.18223,0.00870282
6.19611,6.19679,6.19926,0.0086914
6.21335,6.21408,6.21663,0.00871214
6.23059,6.23127,6.23374,0.00863097
6.24702,6.24781,6.25027,0.0082476
6.26388,6.26464,6.26799,0.00841465
6.28245,6.28327,6.28608,0.00860521
6.30054,6.30131,6.30406,0.00867299
6.31871,6.31943,6.32197,0.0086965
6.3356,6.33627,6.33878,0.00861016
6.35292,6.35361,6.35622,0.00862689
6.37031,6.371,6.37346,0.00865157
6.38714,6.38784,6.3903,0.00865594
6.40398,6.40472,6.40722,0.00858885
6.42138,6.42216,6.42464,0.00868351
6.43864,6.43935,6.44193,0.00874924
6.45594,6.4567,6.45929,0.00871736
6.47374,6.47445,6.47691,0.00880796
6.49108,6.49181,6.49439,0.00871178
6.50849,6.50919,6.51151,0.00876475
6.52518,6.52591,6.5286,0.00862154
6.54283,6.54351,6.54613,0.0088112
6.56007,6.56074,6.56336,0.00863974
6.57705,6.57786,6.58041,0.00858489
6.59399,6.59476,6.59743,0.00855669
6.61131,6.612,6.61443,0.00858727
6.6281,6.62884,6.63132,0.00866158
6.64515,6.64586,6.64832,0.00870163
6.66196,6.66267,6.66512,0.00858724
6.67929,6.68005,6.68275,0.00870984
6.6969,6.69759,6.70012,0.00873613
6.71382,6.71457,6.7173,0.0085417
6.73166,6.73245,6.7351,0.00877678
6.7492,6.74996,6.75245,0.0087753
6.76674,6.76759,6.77041,0.00913522
6.78481,6.78562,6.78841,0.00860163
6.80304,6.80384,6.80667,0.00868826
6.82125,6.82195,6.8245,0.0087461
6.8385,6.83919,6.84164,0.00875118
6.85585,6.85663,6.85903,0.00875024
6.87301,6.8737,6.87631,0.00867506
6.89049,6.89123,6.89365,0.00858898
6.90723,6.90799,6.91051,0.00850609
6.92415,6.92486,6.92738,0.00864629
6.94131,6.94201,6.94453,0.00865094
6.95801,6.95873,6.96126,0.00851948
6.97503,6.97578,6.97825,0.00859158
6.99189,6.99262,6.9951,0.00847833
7.0089,7.00962,7.01217,0.00878366
7.02633,7.02712,7.02965,0.00872626
7.04353,7.0442,7.0466,0.00873363
7.06046,7.06124,7.06378,0.00870743
7.07778,7.07847,7.08099,0.00866792
7.09486,7.09562,7.09812,0.00865343
7.11173,7.11234,7.11494,0.00867196
7.12896,7.12975,7.13225,0.00869452
7.14607,7.14681,7.14947,0.0087342
7.16344,7.16415,7.16664,0.00870706
7.18041,7.18114,7.18379,0.00870945
7.1977,7.19845,7.20101,0.00874
7.21441,7.21513,7.21793,0.00850003
7.23184,7.23259,7.2351,0.00861733
7.24893,7.24964,7.25215,0.00875029
7.26683,7.26753,7.27004,0.00935116
7.28376,7.28444,7.28707,0.00852561
7.30129,7.30198,7.3046,0.00883593
7.31903,7.3197,7.32222,0.00880031
7.33639,7.33704,7.33965,0.00875972
7.35366,7.35435,7.35697,0.00869224
7.37103,7.37174,7.37436,0.008827
7.38847,7.38927,7.39201,0.00881831
7.40629,7.40702,7.40942,0.00880162
7.42315,7.42392,7.42642,0.00851797
7.44048,7.44125,7.44375,0.00865064
7.45759,7.45835,7.4609,0.00862432
7.47454,7.47525,7.47775,0.00864666
7.49131,7.49202,7.49458,0.00857468
7.50872,7.50947,7.51204,0.00865215
7.52624,7.52693,7.52943,0.008747
7.54312,7.54385,7.54641,0.00865285
7.56066,7.56139,7.56385,0.0087816
7.57778,7.57854,7.58094,0.00877055
7.59487,7.59559,7.59826,0.00863031
7.61241,7.61318,7.61571,0.00872317
7.62926,7.63002,7.63249,0.00852189
7.64604,7.64679,7.64924,0.00858375
7.66311,7.66382,7.6664,0.00863678
7.68019,7.68088,7.68329,0.00846566
7.6967,7.69742,7.6998,0.00826196
7.71311,7.71382,7.71653,0.00834123
7.73071,7.73145,7.73402,0.0086356
7.74771,7.74848,7.75102,0.00866011
7.76495,7.7664,7.76927,0.00877492
7.78399,7.78486,7.78773,0.008721
7.80221,7.80288,7.80539,0.00875062
7.81912,7.81989,7.82241,0.00863865
7.83626,7.83693,7.83954,0.0085861
7.85292,7.85365,7.85612,0.00854529
7.8697,7.87044,7.87311,0.00853401
