Scheduling End,78162327053
Makespan,93010913364
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
3.41706,3.41831,3.42228,0.00841211
3.43788,3.43913,3.44314,0.00790271
3.45934,3.4606,3.46461,0.00843588
3.48049,3.48178,3.48577,0.00810851
3.50201,3.50327,3.50727,0.00848699
3.52337,3.5246,3.52855,0.00835021
3.54423,3.54553,3.54945,0.00805402
3.56544,3.56669,3.57065,0.00836941
3.58664,3.58788,3.59192,0.00832962
3.60813,3.60938,3.61335,0.00841557
3.6294,3.63067,3.63464,0.00831595
3.65065,3.65189,3.65586,0.008364
3.67201,3.67326,3.67723,0.00840662
3.69281,3.69405,3.69802,0.00791281
3.71423,3.71548,3.71949,0.00853395
3.73508,3.73633,3.7403,0.00783592
3.75641,3.75769,3.76167,0.00841384
3.77764,3.77889,3.78287,0.00827447
3.79886,3.8001,3.80405,0.00831727
3.82016,3.82144,3.82541,0.00845199
3.84143,3.84265,3.84664,0.00832374
3.86278,3.86403,3.86803,0.00843117
3.8838,3.88506,3.88899,0.00802541
3.90493,3.90618,3.91012,0.00831199
3.92571,3.92693,3.93092,0.00794183
3.94699,3.94823,3.95219,0.00838711
3.96807,3.96933,3.9733,0.00818327
3.98941,3.99065,3.99466,0.00841851
4.01079,4.01204,4.016,0.00834993
4.03162,4.03293,4.03691,0.00796468
4.05297,4.05424,4.0582,0.00834272
4.07422,4.07549,4.07946,0.00831201
4.10587,4.10711,4.11107,0.0182239
4.13693,4.13823,4.14221,0.018157
4.1679,4.16921,4.17316,0.0179808
4.19885,4.20017,4.20414,0.018021
4.22995,4.23126,4.23525,0.0181521
4.25687,4.25819,4.26223,0.0138993
4.2815,4.28278,4.28683,0.0111417
4.30496,4.30626,4.31029,0.00996285
4.32831,4.3296,4.3336,0.0099133
4.35157,4.35286,4.35684,0.00983529
4.37464,4.37592,4.37989,0.00975504
4.39753,4.39878,4.40272,0.00966138
4.42041,4.42171,4.42565,0.00971592
4.44344,4.44471,4.44872,0.00983606
4.4667,4.46794,4.47199,0.00991518
4.49009,4.49134,4.49539,0.00997169
4.51327,4.51454,4.5185,0.00977642
4.53617,4.53748,4.5414,0.00970658
4.55947,4.56074,4.56475,0.0100765
4.582,4.58325,4.58773,0.0094725
4.61386,4.61512,4.61913,0.0183508
4.64524,4.64658,4.6506,0.018351
4.67702,4.67834,4.68237,0.0186338
4.7085,4.70986,4.71385,0.0182955
4.73285,4.73421,4.73819,0.0112481
4.75565,4.75695,4.76094,0.00976835
4.7779,4.77917,4.78313,0.009239
4.80003,4.80136,4.80528,0.00923631
4.82226,4.8235,4.82751,0.00934724
4.84465,4.8459,4.84992,0.00938979
4.86699,4.86826,4.87222,0.00930621
4.88923,4.8905,4.89448,0.00931591
4.91268,4.91393,4.91795,0.01049
4.936,4.93728,4.9413,0.00997614
4.95931,4.96057,4.9646,0.00988284
4.98256,4.98385,4.98788,0.00989177
5.00463,5.00593,5.0099,0.00865587
5.02588,5.02713,5.03114,0.00798084
5.04801,5.04928,5.05328,0.00882929
5.07009,5.07135,5.07539,0.00871232
5.0973,5.09855,5.10253,0.0138715
5.12382,5.12515,5.12908,0.0132812
5.1504,5.15168,5.15566,0.0133597
5.17713,5.1784,5.18239,0.0134608
5.2039,5.20522,5.20922,0.0134884
5.23082,5.23212,5.23613,0.0135177
5.25771,5.259,5.26302,0.013503
5.28467,5.28596,5.28997,0.013559
5.31152,5.31283,5.31682,0.0134596
5.33825,5.33954,5.34353,0.0134154
5.36509,5.36636,5.37038,0.0135512
5.39197,5.39331,5.39731,0.0135055
5.41877,5.42006,5.42404,0.0134176
5.44554,5.44685,5.45081,0.0134737
5.4723,5.47362,5.47759,0.0134949
5.49915,5.50042,5.50443,0.0135271
5.52627,5.52756,5.5316,0.0136248
5.55326,5.55455,5.55857,0.0135347
5.5802,5.58156,5.58604,0.0135337
5.60444,5.60577,5.60977,0.0102804
5.62815,5.62944,5.63349,0.010328
5.65185,5.65313,5.6571,0.0102192
5.67529,5.67656,5.68055,0.0101783
5.69897,5.70022,5.70427,0.0103301
5.72291,5.72416,5.72824,0.0104163
5.74676,5.74804,5.7521,0.0103492
5.77055,5.77182,5.77585,0.0103272
5.79412,5.7954,5.79938,0.0102022
5.81761,5.81887,5.82285,0.0101965
5.84106,5.84232,5.84631,0.0101624
5.86449,5.86576,5.86972,0.0101803
5.88783,5.8891,5.89306,0.0101104
5.91117,5.91241,5.91639,0.0100981
5.93469,5.93595,5.93998,0.0102616
5.95843,5.95968,5.96371,0.0103539
5.98217,5.98349,5.98753,0.0103416
6.00589,6.00718,6.01121,0.0102638
6.02963,6.03089,6.03489,0.0102577
6.0533,6.05456,6.05862,0.0103419
6.0771,6.07836,6.08238,0.0103421
6.10073,6.102,6.10602,0.00982306
6.12388,6.12516,6.12912,0.00976055
6.14698,6.14823,6.15223,0.00983835
6.1702,6.17144,6.17548,0.00994216
6.19359,6.19486,6.19889,0.00995537
6.2169,6.21818,6.22221,0.00987411
6.24025,6.24154,6.24556,0.00995872
6.26366,6.26495,6.26896,0.00991784
6.28687,6.28814,6.29213,0.00979496
6.30993,6.3112,6.31519,0.00978004
6.33311,6.33435,6.33838,0.00990593
6.3563,6.35758,6.36156,0.0098052
6.37944,6.38072,6.38472,0.00984243
6.40265,6.40391,6.40795,0.00992302
6.42602,6.42729,6.43136,0.00996165
6.4496,6.45089,6.45501,0.010109
6.47326,6.47452,6.4786,0.0100225
6.49694,6.49823,6.50231,0.0101078
6.52049,6.5218,6.52585,0.00998473
6.54384,6.54515,6.54914,0.00984024
6.56693,6.56819,6.57217,0.00976651
6.59057,6.59182,6.59582,0.010365
6.6138,6.61504,6.61907,0.00989929
6.63719,6.63845,6.64252,0.00998254
6.66055,6.66187,6.66589,0.00989012
6.68386,6.68517,6.68919,0.0098691
6.70712,6.70838,6.71236,0.00981867
6.73015,6.73142,6.7354,0.00974684
6.75312,6.75435,6.75829,0.00972094
6.77595,6.77724,6.7812,0.00971961
6.79901,6.80024,6.80424,0.00981549
6.82219,6.82345,6.82746,0.00987367
6.84546,6.84672,6.85076,0.00995776
6.86872,6.87,6.87402,0.00986207
6.8919,6.89323,6.89722,0.00980553
6.9152,6.91644,6.9205,0.00993371
6.93852,6.93977,6.94379,0.00987754
6.96174,6.96301,6.96702,0.00987048
6.98507,6.98633,6.99037,0.00997566
7.00847,7.00977,7.01382,0.00997277
7.0319,7.03321,7.03724,0.00993237
7.05522,7.0565,7.06051,0.00984367
7.07851,7.07978,7.08432,0.0099291
7.10238,7.10365,7.10771,0.00993595
7.12577,7.12703,7.13107,0.00995121
7.14906,7.15032,7.15434,0.00988702
7.17229,7.17359,7.17758,0.00989381
7.19541,7.19667,7.20066,0.00978636
7.21851,7.21975,7.22377,0.00983913
7.2417,7.24296,7.24699,0.00986689
7.26493,7.2662,7.27021,0.00985011
7.28813,7.28943,7.29345,0.00984037
7.31144,7.31275,7.3168,0.00989829
7.33484,7.33611,7.34015,0.0099003
7.35826,7.35951,7.36357,0.00997284
7.38166,7.38291,7.38697,0.00995944
7.40493,7.40623,7.41022,0.00982162
7.42806,7.42937,7.43334,0.00979068
7.45116,7.45241,7.45641,0.00981434
7.47443,7.47567,7.47972,0.00995818
7.49772,7.49896,7.50302,0.00991259
7.52106,7.52233,7.52639,0.00989142
7.5445,7.5458,7.54983,0.00998065
7.56779,7.56908,7.57305,0.00981776
7.59072,7.59198,7.59593,0.00965362
7.61295,7.6142,7.61824,0.00902075
7.63534,7.63658,7.64057,0.00903689
7.65776,7.65903,7.66301,0.00901383
7.68012,7.6814,7.68541,0.0090994
7.70262,7.70387,7.70793,0.00911545
7.72529,7.72657,7.73064,0.0092127
7.7479,7.74922,7.75325,0.00908632
7.77044,7.77173,7.77572,0.00906819
7.79267,7.79394,7.79795,0.00892566
7.81503,7.81627,7.8203,0.00902609
7.83743,7.83868,7.84272,0.0090629
7.85997,7.86124,7.86527,0.00909759
7.88248,7.88374,7.8878,0.00907751
7.905,7.90627,7.91029,0.00904646
7.92754,7.92882,7.93281,0.00909007
7.94974,7.95099,7.95497,0.00886945
7.97208,7.97337,7.97741,0.00909561
7.99456,7.99582,7.99981,0.00906007
8.01702,8.01829,8.02235,0.00918092
8.03971,8.04102,8.04513,0.00919841
8.06245,8.06373,8.06778,0.00910657
8.08548,8.08677,8.0908,0.009575
8.10778,8.10907,8.11314,0.00884633
8.13021,8.13147,8.13555,0.00891425
8.1525,8.15378,8.15779,0.00875553
8.17474,8.17601,8.18003,0.00874437
8.19685,8.19812,8.20212,0.0087787
8.21899,8.22026,8.22428,0.00882757
8.24111,8.24236,8.24635,0.00870411
8.26294,8.26418,8.26818,0.00856524
8.28509,8.28634,8.29042,0.00885447
8.30734,8.30859,8.31264,0.00878912
8.32953,8.33077,8.33482,0.00874014
8.35184,8.35312,8.35719,0.00891005
8.37421,8.37546,8.37948,0.00886685
8.39636,8.39767,8.40167,0.00881294
8.41845,8.41968,8.42369,0.00866057
8.44043,8.4417,8.44564,0.00864891
8.46211,8.46414,8.46807,0.00853314
8.48463,8.48588,8.48987,0.00863538
8.50654,8.50775,8.51177,0.00866907
8.52886,8.5301,8.53415,0.00888686
8.55118,8.55242,8.55646,0.008873
